Change of Use - Permitted Use
Signs - Permitted Use
Relaxation - Existing - Compliance Follow-Up
Renovations - Non-Residential
Residential - Secondary Suite
Signs - Permitted Use with Relaxation
Signs - Discretionary Use - Third Party Signs
Home Occupation Class 2
Relaxation - Existing - Residential - FastTrack - Comp Follow-Up
Change of Use - Discretionary Use or Relaxations Required
Relaxation - Existing - Residential
Relaxation - New - Residential
Relaxation - New - Accessory Building
Residential - Contextual Dwelling
Signs - Discretionary Use
Change of Use - With Change to Site Plan
Residential - Additions over 10 sq metres
Industrial - Other Areas
Temporary Structure
Residential - New Single / Semi / Duplex
Residential - Additions 10 sq metres and under
Residential - Multi-Family
Commercial - Other Areas
Residential - Multi-Family - Renovations
Surface Parking Lots
Special Function Tents
Outdoor Cafe
Excavating, Stripping and Grading
Development Design Guidelines
Relaxation - Existing - Accessory Building
Mixed Use - Other Areas
Residential - Multi-Family - Minor and Rowhouses
Retaining Wall
Mixed Use - Downtown
Manufactured Home - Addition over 10 sq metres
Commercial - Downtown
Manufactured Home - New
Residential - New Accessory Building
Residential - Single/Semi/Duplex Renovations
Portable Classroom
Relaxation - Existing - Residential - FastTrack
Residential - Fence
Industrial - Downtown
Residential - Modest Residential Development
